book,chapter,verse,spanish,nasa_yuwe
1JN,2,1,"Queridos hijos míos, les escribo esto para que no pequen. Pero si alguno peca, tenemos a alguien que nos defiende ante el Padre, a Jesucristo, que es verdaderamente justo.","Adx luuçxwe'sx, pkalte fxi'zekahmenthu pta'sxna fxi'ja'. Txã'wẽtewa maaíi yu' pkalte wetewá'kwe nawa Dxus tasxte kwe'sx ju'gu we'we pu'çxsa ji'ptha'w, txã' Jesukristo' isasa yu's jxuka kxtey yuusáa."
1JN,2,2,"Por él son perdonados nuestros pecados, y no solo los nuestros, sino los de todo el mundo.",Jesukristok kwe'sx pkal pa'gate vxite' naa kiwete nasa jxukaysa pkal pa'gate yã'jçxa ya'dukhçxa uu.
1JN,2,3,Podemos estar seguros de que lo conocemos si seguimos sus mandamientos.,Dxus jxkaahnitxi's kxtey yuuna fxi'zeçxa yuuçxáa Dxusa's jiiyuhth sũhwa'ja's ya'ji'phuna.
1JN,2,4,"Todo el que dice: “Yo conozco a Dios”, pero no hace su voluntad, es mentiroso, y no tiene la verdad.",Nawa maaíi yu' Dxusa's jiith jĩwáana nawa txajx jxkaahnitx kxtey nwẽese'jsame' txã' ĩsxiisa yuuna.
1JN,2,5,Pero los que siguen la palabra de Dios permiten que su amor llene sus corazones por completo. Así es como sabemos que vivimos en él.,Maawa Dxus jxkaahnitx kxtey nwẽese'jena txã' Dxus peeygãani's ũuste jxuka ji'phsaçxa txã'wẽ yuuna. Txã'wẽ yuuçxáa Dxus yakh fxi'zena ũsne'tka'w sũhwa'ja's ya'ji'phuna.
1JN,2,6,"Todo el que dice vivir en él, debe vivir como Jesús vivió.","Dxus yakh fxi'zena ũsthu jĩsa', Jesukristo na'wẽy kĩh pkal yuhwa ji'phmée fxi'zena. Dxus jxkaahni u'sesa"
1JN,2,7,"Amigos, no les escribo para darles un nuevo mandamiento, sino un mandamiento antiguo que ya teníamos desde el principio. Este mandamiento antiguo ya lo han escuchado.","Adx peeygãanisawe'sx, i'kwe'sxtxi' Dxus jxkaahni u'sesa pta'sxna fxi'jaçmeeth, Dxus jxkaahni nyafxíi pta'sxte iiwẽse'jyã'ji'kwe txãaíiçxá'."
1JN,2,8,"Pero en cierto sentido les estoy dando un nuevo mandamiento. Su verdad se revela en Jesús y en ustedes, pues viene el fin de la oscuridad y la luz verdadera ya está brillando.","Txã'wẽçxawa na'wẽ nyafxíi jxkaahni's kaayaki'jna fxi'jaçthu txã' u'sesa na'wẽ yuh kaseje'k. Txajíiçxáa i'kwe'sxa' Kristo's ũusuh jxuka peeygãhçxa', i'kwe'sx pwe'sxwa txã'wẽy yũuna fxi'zeçi'kwe. Txãa pa'ga ãçxha' skhẽuuça' jxpubana çxhi'dxte fxi'zenisa', aça' jxpubamée fxi'zeni eena'sa vxyaaça'."
1JN,2,9,Los que dicen que viven en la luz pero aborrecen a un hermano cristiano todavía tienen tinieblas dentro de sí.,"Maaí' jxpubamée eena'te ũsthu jĩçxawa txajx yakhthẽ'ja's açena, txã' jxpubana çxhi'dxte fxi'zesaçxa txã'wẽ yuuna."
1JN,2,10,"Los que aman a sus hermanos cristianos viven en la luz, y no hacen pecar a otros.","Jxpubamée eena'te fxi'zesa' txajx yakhthẽ'ja's ahçemée peeygãhna fxi'zena, kĩh yuhwa pkalte kweete'jwa'j yu'sa' vxitmée."
1JN,2,11,"Los que aborrecen a un hermano cristiano están en oscuridad. Tropiezan en la oscuridad, sin saber hacia dónde van porque la oscuridad los ha cegado.",Nawa txajx yakhthẽ'ja's ahçena fxi'zesa' çxhi'dxte uyya' ãjamée mtee pa'jwa'ja's yuuwa jiimée jxpubana fxi'zesaçxa txã'wẽ yuuna.
1JN,2,12,"Queridos amigos, les escribo a ustedes, hijos, porque sus pecados han sido perdonados por el nombre de Jesús.","Adx luuçxwe'sx, i'kwe'sx pkala' peltunãynitx yuu Jesukristo uute', txãa pa'gath fxi'ja'."
1JN,2,13,"Les escribo a ustedes, padres, porque ustedes lo conocen a él, que ha existido desde el principio. Les escribo a ustedes, jóvenes, porque han vencido el mal.","Txã'wẽy thẽ'jsawe'sx, i'kwe'sxa' na'wẽ nyafxíi entey Jesukristo' ũsyã'kh yu' txã'sna jiyupa'gath fxi'ja'. Sa' piçtakxwe'sx, eçxthẽ'ja's knayi'kwe txãa pa'gath fxi'ja'. Adx luuçxwe'sx, Dxusa's jiyui'kwe txãa pa'gath fxi'ja'."
1JN,2,14,"Les escribo a ustedes, pequeñitos, porque ustedes conocen al Padre. Les escribo a ustedes, Padres, porque conocen al que ha existido desde el principio. Les escribo a ustedes, jóvenes, porque son fuertes. Porque la palabra de Dios vive en ustedes, y han vencido al maligno.","Thẽ'jsawe'sx, na'wẽ nyafxíi entey Jesukristo' ũsyã'kh yu' txã'sna jiyupa'gath fxi'ja'. Sa' piçtakxwe'sx, Dxus pta'sxni's ũuste yu'akhçxa eçxthẽ'ja's ũukhmée knayi'kwe txãa pa'gath fxi'ja'."
1JN,2,15,"No amen al mundo, ni anhelen las cosas que hay en él. Si aman al mundo, no tendrán el amor del Padre en ustedes.","Ãçxha' kxazsay mpa'yajkxwe, naa kiwetewe'sxa's yajkxya'mée. Maawa naa kiwetewe'sxa's yaakxsa' Dxusa's yaakxsameeçxa txã'wẽ yuuna."
1JN,2,16,"Porque todas las cosas de este mundo, nuestros deseos pecaminosos, nuestro deseo por todo lo que vemos, nuestra jactancia por lo que hemos logrado en la vida, ninguna de esas cosas viene del Padre, sino del mundo.","Txãa pa'gatey naa kiwete' na'wẽ yaakxnisaçxáa ũsta': naa kakwe' kazx yũuna fxi'zeni, yafxju uyçxa kazx ũus yaakxni, kĩhwa ji'phçxa' iiwejçx iiwejçx yajkxna fxi'zenisaçxáa ũsta'. Txã'wẽ ewmeesa yuuçxá'sku naa kiwe' ũsu', aça' txã'wẽsa' Dxus jxthãasnisame'."
1JN,2,17,"El mundo y sus malos deseos acabarán, pero los que hacen la voluntad de Dios vivirán para siempre.","Naa kiwete txã'wẽ yũuwa'jçxáana yajkxna fxi'zesa' jxuka pçuwa'jsata' petx naa kiwe yã'jçxa. Nawa Dxus jxthãasniçxá's kxtey yuusa', bagaçxte yuhwa pçumée ĩtxi fxi'zewa'ja's ji'phutxna. Dxus Espiritu' kaajiyu'ju'k maa ĩsxiinisatewa, txã'wẽy maa isasatewa"
1JN,2,18,"Queridos amigos, esta es la última hora. Como han escuchado, el anticristo viene. Y ya han venido muchos anticristos. Así es como sabemos que esta es la última hora.","Adx luuçxwe'sx, ãçxha' nmeh en ãjk. I'kwe'sxa' iiwẽse'jne'kwe Kristo's açesa pa'jana jĩni's. Txãasa ãçxha' wala kuh ũsta' Kristo's açesa. Txãa pa'gatha'w jiyu' nmeh en yuuçtewa."
1JN,2,19,"Ellos se fueron, pero no eran parte de nosotros, porque si así hubiera sido, habrían permanecido aquí. Pero cuando se fueron demostraron que ninguno de ellos hacía parte de nosotros.","Txãawe'sxa' kwe'sx yakh ũswa'jsamée ne'ta yu', txãasatx kwe'sx ksxavxyuh kaseh. Kwe'sx yakh ũswa'jsawaça', txuteewa'jmée ne'ta yu'. Jxukay yu' kwe'sx yakh fxi'zewa'jsameetxna, txãasatx txã'wẽ txutee."
1JN,2,20,"Pero ustedes han sido ungidos con la bendición del Espíritu Santo, y todos ustedes saben lo que es verdad.","Nawa i'kwe'sxa' Dxus Espiritu's ũuste ji'phi'kwe, txãasa maa isasatewa txã'sa' jxpubawa'jsamée i'kwe."
1JN,2,21,"No les escribo porque no conozcan la verdad, sino precisamente porque la conocen, y porque no hay engaño en ella.","I'kwe'sxa' isasa's jxpubawa'jsamée i'kwe naa pa'gaíiçxáath fxi'ja', peekx jii i'kwe ĩsxiinisa' bagaçxte yuhwa isa kaseje'çme'."
1JN,2,22,¿Quién es el mentiroso? Todo aquél que niega que Jesús es el Cristo. El anticristo es todo aquél que niega al Padre y al Hijo.,"¿Kim txã'wẽ ĩsxiisa yuukx? Jesusa' Dxus kaahnisame' jĩna we'wesa txã'wẽ ĩsxiisa yuuna. Txã'wẽ we'wesa' Dxus Nçxi'knawa jxpa'gamée yã'jçxa', Neynawa jxpa'gasameeçxa txã'wẽ yuuna."
1JN,2,23,"Todo aquél que niega al Hijo, tampoco tiene al Padre; y todo el que reconoce al Hijo, tiene al Padre también.","Maawa Dxus Nçxi'ka's açesa', Neynawa açesa yuuna. Nawa Dxus Nçxi'ka's jxpa'gasa', Neynawa jxpa'gasa yuuna."
1JN,2,24,"En cuanto a ustedes, asegúrense de que lo que oyeron desde el principio siga vivo en ustedes. Si lo que oyeron desde el principio vive en ustedes, también vivirán en el Hijo y en el Padre.","Txajíi nyafxíi pta'sxni Dxus yuwe isasa's i'kwe'sx ũuste ew mjxaawwe. Txã'wẽ yũuçxa' Dxus Nçxi'k yakh txutemée fxi'zene'kwe, sa' Ney yakhwa txã'wẽy txutesamée yuune'kwe."
1JN,2,25,La vida eterna. ¡Eso es lo que nos ha prometido!,Aça' txã'wẽ yũusatxi' Jesukristo' peesya' neeyũuk bagaçxte yuhwa pçumée ĩtxi fxi'zewa'ja's.
1JN,2,26,Escribo esto para advertirles contra las cosas que quieren descarriarlos.,I'kwe'sxtxi maawa kaypuba'jwe'sxteth pta'sxi' jxpa'yakxkahn.
1JN,2,27,"Pero el ungimiento que recibieron de él por medio del Espíritu vive en ustedes, y no necesitan que nadie los enseñe. El ungimiento del Espíritu les enseña todas las cosas. Esa es la verdad. No es una mentira. Así que vivan en Cristo, como se les ha enseñado.","Nawa i'kwe'sxa' Dxus Espiritu's ũuste ji'phi'kwe na' maa ĩsxiinisana aça' vxite' maa isasatewa thẽymée jiyune'kwe, txãa pa'gatey Dxus Espiritu' kĩhtewa jxukak kaajiyu'ju', sa' txajx kaapiya'jni' ĩsxiinisameeta'. Txã'wẽ jiyuçxa', Kristo yakh txutemée fxi'zene'kwe."
1JN,2,28,"Ahora, mis queridos amigos, sigan viviendo en Cristo, para que cuando aparezca, podamos estar seguros y no tengamos vergüenza delante él en su venida.","Adx luuçxwe'sx, ãçxha' Kristo yakh txutemée mfxi'zewe. Txã'wẽ fxi'zeçxa', thaamemée weçxana jxpa'ga'nja'w Kristo' naa kiwete kĩhçxa vxyaatewa."
1JN,2,29,"Si ustedes saben que él es bueno y justo, entonces también deben saber que todo el que hace lo justo ha nacido de Dios. < 2 >","I'kwe'sxa' jiiyã'ji'kwe Jesukristo' kĩhtewa jxuka ew yũusaatewa, aça' maawa txãa na'wẽy kĩhtewa jxuka ew yũuna fxi'zeçxa', Dxus luuçxçxa txã'wẽ yuuna. < 2 >"
1JN,3,1,"¡Miren el amor que tiene el Padre para con nosotros! Por eso podemos ser llamados hijos de Dios, ¡porque eso es lo que somos! La razón por la que el mundo no nos reconoce como hijos de Dios es porque no lo reconocen a él.","Dxus peeygãani' seena' yuh wala' txã'sna miiyajkxwe. Txã'wẽçxaíik adx luuçxwe'sx jĩna kxsusu' kwe'sxtxi'. Aça' kwe'sxa' txajx luuçx yuhtha'w. Txãa pa'gatx naa kiwetewe'sxa' kwe'sxtxi' jiyu'çmée, Dxusa's jiimeeta' naa pa'ga."
1JN,3,2,"Amigos míos, ya somos hijos de Dios, pero lo que llegaremos a ser no se ha revelado todavía. Pero sabemos que cuando él aparezca seremos como él, porque lo veremos como él es realmente.","Adx peeygãanisawe'sx, kwe'sxa' Dxus luuçx yã'tha'w. Nawa Kristo kĩhte', ma'wẽ seena' zhiçxkwe neeyũuwa'jsa ne'tka'w txãa yu'sa' ũus yajkxçxa kpajkxya' yu' ãja'çmeetha'w. Nawa Jesukristo vxyaate', txãa ma'wẽsate' weh yuhwa fxiymée txãa na'wẽy neeyũuwa'j yu'sa' jiitha'w."
1JN,3,3,"Todos los que tienen esta esperanza en él, asegúrense de ser puros, como él lo es.","Aça' maawa txãa na'wẽy yuu wẽesa' pkal ji'phmée fxi'zena, Jesukristowa ma'wẽ kĩh pkal yuhwa ji'phmeesana txã'wẽy."
1JN,3,4,Todos los que pecan son violadores de la ley de Dios.,"Maawa pkalte fxi'zesa' Dxus jxkaahnitx nwẽese'jmée ũsçxa txã'wẽ yuuna, aça' Dxus jxkaahnitx kxtey yuumée ũsni' pkal íiçxá'."
1JN,3,5,"Pero desde luego ustedes saben que Jesús vino para eliminar los pecados, y en él no hay pecado.","I'kwe'sxa' jii i'kwe Jesukristo' kwe'sx pkaltxi txuhdeya'k naa kiwete kĩh, nawa txãa yu' kĩh pkal yuhwa ji'phmeesak yu'."
1JN,3,6,"Todos los que viven en él, ya no pecan más; todos los que siguen pecando es porque no lo han visto y no lo han conocido.","Txãa pa'ga maawa Jesukristo yakh fxi'zesa' pkalte fxi'ze'çme'. Aça' maawa pkalte fxi'zesa' Jesukristo's iiuymeena, sa' txãa ma'wẽsatewa jiimeesaçxa txã'wẽ yuuna."
1JN,3,7,"Queridos amigos, no dejen que nadie los engañe: los que hacen justicia son justos, así como Jesús es justo.","Adx luuçxwe'sx, mpa'yajkxwe, i'kwe'sxtxi maawa kaypuba'jwe'sxte. Jesukristo na'wẽy ew yũuna fxi'zesa yuuçxáa, ewsa yuuna."
1JN,3,8,"Los que pecan son del diablo, porque el diablo ha estado pecando desde el principio. Por eso vino el Hijo de Dios, para destruir lo que el diablo ha hecho.","Nawa pkalte fxi'zesa' eçxthẽ'j yakh ũssaçxa txã'wẽ yuuna, txãa pa'gatey eçxthẽ'ja' nyafxiitey pkalsak yu'. Txajíiçxáak Dxus Nçxi'ka' eçxthẽ'j mjĩini's ivxiituya' kĩh naa kiwete."
1JN,3,9,"Y todos los que son nacidos de Dios ya no pecan más, porque la naturaleza de Dios habita en ellos. Y no pueden seguir pecando porque han nacido de Dios.","Dxus luuçxa' maa yuhwa pkalte fxi'ze'çmeeta', txãa pa'gatey txãawe'sx ũusa's Dxus yu'pthehçxa nvxiitnisata' naa pa'ga. Txãasa pkalte fxi'zewa'jsameeta' Dxus luuçx yã'ja'."
1JN,3,10,"Así es como podemos distinguir a los hijos de Dios y los hijos del diablo: todos aquellos que no obran con justicia, no pertenecen a Dios, ni aquellos que no aman a sus hermanos cristianos.",Txãa pa'gak ya'jiyu' maa Dxus luuçxtewa. Sa' maa txã'wẽ eçxthẽ'j luuçxtxiwa ya'jiyu'k: Maawa ewmeeçxáa yũuna txajx yakhthẽ'jwe'sxtxi ahçena fxi'zesa' txãawe'sxa' Dxus luuçx meeta'. Teeçxsa na'wẽçxah puutx ya'peeygãhna fxi'zewa'ja'
1JN,3,11,El mensaje que han escuchado desde el principio es este: debemos amarnos unos a otros.,I'kwe'sxa' Kristo kaapiya'jni's iiwẽse'jne'kwe txã' na'wẽk yu': Teeçxsa na'wẽçxah puutx ya'peeygãhnak fxi'zewa'j yu'.
1JN,3,12,"No podemos ser como Caín, que pertenecía al maligno, y mató a su hermano. ¿Por qué lo mató? Porque Caín era malo, pero su hermano era justo.","Eçxthẽ'j yakh ũssa Kaina' txajx nyakha's ikhku, nawa kwe'sxa' txãa na'wẽy yuuwa'jsameetha'w. ¿Kĩh yuutega ikh wakx? Kain mjĩini' ewmeek yu', aça' nyakh mjĩini' ewsak yu' txãa pa'ga yuuçxáak ikh."
1JN,3,13,Así que no se sorprendan si este mundo los aborrece.,"Adx yakhthẽ'jwe'sx, kuh yaakxnuwe naa kiwetewe'sx ahçetewa."
1JN,3,14,La razón por la que sabemos que hemos ido de la muerte a la vida es porque amamos a nuestros hermanos y hermanas en la fe. Porque el que no ama sigue muerto.,"Txãa pa'gatey kwe'sxa' vxituwa'ju kasehçxa bagaçxte yuhwa pçumée ĩtxi fxi'zewa'the pa'jsatha'w, txãasa íiçxáatha'w yakhthẽ'jwe'sxtxi peeygãja'. Nawa maawa txajx yakhthẽ'ja's peeygãasame', txãa vxituwa'ju kasehsameeçxa txã'wẽ yuuna."
1JN,3,15,"Los que odian a sus hermanos cristianos son asesinos, y ustedes saben que los asesinos no tendrán vida eterna con ellos.","Maawa txãawe'sx yakhthẽ'jwe'sxtxi ahçena fxi'zesa', nasa's ikhsa na'wẽysa íiçxá'. Aça' i'kwe'sxa' jii i'kwe nasaa ikhsa' kim yuhwa pçumée ĩtxi fxi'zewa'ja's ji'phumeetxna."
1JN,3,16,"Así es como sabemos qué es el amor: Jesús entregó su vida por nosotros, y nosotros debemos entregar nuestras vidas por nuestros hermanos en la fe.",Jesukristo' kwe'sxtxi peeygãhçxa nwe'weya' txajx ĩtxi fxi'zeni's ivxiituk. Txãa txã'wẽ peeygãani yaase'. Aça' kwe'sxwa txã'wẽy kwe'sx yakhthẽ'jtx peeygãhçxa kwe'sx ĩtxi fxi'zeni's ivxiituwa'j ji'ptha'w.
1JN,3,17,"Si alguno de ustedes vive cómodamente en este mundo, y ve a su hermano o hermana en Cristo padeciendo necesidad, pero no tiene compasión, ¿cómo podemos decir que el amor vive en ustedes?","Nawa kwe'sx yakhthẽ'j peejiina ũste uyçxawa kĩhçxáawa iijxtxuhdemeeçxa', ¿ma'wẽ Dxus peeygãani's kwe'sx ũuste ji'ptha'w jĩya' ãjakxtha'w?"
1JN,3,18,"Queridos amigos, no digamos que amamos solo con palabras, sino mostremos nuestro amor en lo que hacemos y en la manera como demostramos la verdad.","Adx luuçxwe'sx, kwe'sx peeygãani' yuwejuçxáa peeygãa we'wewa'jme'. Isa peeygãjaççxa', ãate kaavxya'ja'jwa'ja' kĩhçxáawa pu'çxna. Kwe'sx ũuste ewçxáa ũusutheçxa', Dxus dxi'pte jxpubamée ũste txã'wẽ yuuna"
1JN,3,19,"Así es como sabremos que pertenecemos a la verdad, y pondremos nuestras mentes en paz con Dios","Txã'wẽ yũuçxa', isa Dxus luuçxçxa txã'wẽ yu'nja'w, sa' Dxus dxi'ptewa jxpubamée ũsne'tka'w sũhwa'ja's ji'phu'nja'w."
1JN,3,20,"cuando pensemos que estamos en error. Dios es más grande de lo que creemos, y lo sabe todo.","Nawa kĩhteçxáawa jxpubaaçte', kwe'sx ũusçxáa yuhwa kaayaki'ji'k aça' Dxusa' kwe'sx ũuste jxthaakwe ew jiisa' aça' txajx dxi'pte ĩsxiiya' ãjame'nja'w."
1JN,3,21,"Así que, queridos amigos, si tenemos la tranquilidad de que no estamos en el error, podemos tener confianza ante Dios.","Adx peeygãanisawe'sx, kwe'sx ũuste ewçxáa ũusuthena aça' Dxusa' pasuna sũhçxa"
1JN,3,22,"Pues recibiremos de él cualquier cosa que le pidamos, porque seguimos sus mandamientos y hacemos lo que le agrada.",Dxusa's pẽyi'nja'w aça' txã' jxuka ũsuna txajx jxkaahnitx nwẽese'jçxa Dxus jxthãasni's kxtey yuuna fxi'zesatxi'.
1JN,3,23,"Y esto es lo que él manda: que debemos confiar en el nombre de su Hijo Jesucristo, y amarnos unos a otros, así como él nos mandó.","Dxusa' na'wẽ yũuwa'ja'sku jxkaaja': txajx Nçxi'k Jesukristo's ũuste jxpa'gaçxa, teeçxsa na'wẽçxah puutx ya'peeygãhnak fxi'zekaah."
1JN,3,24,"Los que guardan sus mandamientos siguen viviendo en él, y él vive en ellos. Y sabemos que él vive en nosotros por el Espíritu que nos ha dado. < 3 >","Dxus jxkaahnitx nwẽese'jsa' Dxus yakh fxi'zesa yuuna, aça' Dxuswa txãawe'sx yakh fxi'zena. Dxusa' kwe'sxtxi txajx Espiritu's peesku, txãa pa'ga kwe'sxa' jiitha'w Dxusa' kwe'sx yakh ũswa'jsatewa. < 3 >"
1JN,4,1,"Queridos amigos, no confien en todos los espíritus, sino pruébenlos para saber si son o no de Dios, porque hay muchos falsos profetas en este mundo.","Adx peeygãanisawe'sx mpa'yajkxwe, txã'wẽ Dxus Espiritu's ji'ptha'w jĩsatxi' txã'wẽ yuhtxna sũhmée mfxi'zewe. Txã'jĩsatxi' ew jiyuwa'ja' Dxus Espiritu's ũuste ji'phdxihtewa jiyuya'. Txã'wẽme' naa kiwete iiméh wala penaçta' Dxus yuwe pta'sxsatha'w jĩna ĩsxiina u'jusa."
1JN,4,2,"¿Cómo pueden reconocer el Espíritu de Dios? Pues todo espíritu que acepta que Jesús vino en carne humana, es de Dios;",Na'jĩsaçxáa Dxus Espiritu's ũuste ji'phsa yuuna: Dxus Nçxi'k Jesukristo' kwe'sx na'wẽy nasaa yuuçxak vxyaa jĩsa yuuçxáa isa we'wesa yuuna.
1JN,4,3,"pero todo espíritu que no acepta a Jesús, ese espíritu no es de Dios. De hecho, es el espíritu del anticristo, del cual oyeron que vendrá, y que ya está en el mundo.","Aça' Jesusa' kwe'sx na'wẽy nasaa yuuçxak vxyaa jĩsame', txã' Dxus Espiritu's ũuste ji'phmeena, wejxwa Kristo's açesa yuuna. I'kwe'sxa' iiwẽse'jne'kwe txã'jĩna we'wesa pa'jatxna jĩni's. Txãasa ũsyã'tha' naa kiwete."
1JN,4,4,"Pero ustedes pertenecen a Dios, mis amigos, y los han vencido, porque el que está en ustedes es más grande que el que está en el mundo.","Adx peeygãanisawe'sx, i'kwe'sxa' Dxus luuçxi'kwe, txãasai'kwe ĩsxiisatxi' knay, txãa pa'gatey Dxus Espiritu i'kwe'sx ũuste ũssa' thaakwe çxhãçxhasa' naa kiwete ĩsxiisawe'sx ũuste ũssameeçxa'."
1JN,4,5,"Ellos pertenecen al mundo, y hablan como personas del mundo, y el mundo los oye.","Txãa ĩsxiisa' naa kiwetewe'sxta'. Txã'wẽçxaíitx naa kiwetewe'sxçxáana pta'sxi', aça' nasa naa kiwetewe'sxa' nwẽese'je'tx."
1JN,4,6,"Sin embargo, nosotros pertenecemos a Dios y todo el que conoce a Dios, nos escucha; pero los que no pertenecen a Dios, no nos escuchan. Así es como podemos distinguir el espíritu de verdad del espíritu de engaño.","Nawa kwe'sxa' Dxus luuçxtha'w, aça' maawa Dxusna jiisa' kwe'sx pta'sxni's nwẽese'je'tx. Nawa Dxus luuçxmeesa', kwe'sx pta'sxni's nwẽese'je'çmeeta'. Kxah kwe'sxa' jiyu'nja'w kim Dxus Espiritu's isa ũuste ji'phtewa, txã'wẽy kim kaypuba'jsatewa. Peeygãanisa' Dxus tasxuh yuja'"
1JN,4,7,"Queridos amigos, sigamos amándonos unos a otros, porque el amor viene de Dios. Todos los que aman son nacidos de Dios y conocen a Dios.","Adx peeygãanisawe'sx, puutx ya'peeygãhna fxi'zewa'j ji'ptha'w, txãa pa'gatey peeygãhna fxi'zewa'ja's Dxusku pees naa pa'ga. Aça' maawa peeygãhna fxi'zesa' Dxus luuçxta' Dxusa's jiisa."
1JN,4,8,"Los que no aman, no conocen a Dios, porque Dios es amor.","Dxusa' peeygãasa', aça' peeygãawa'ja's ji'phmeesa' Dxusa's jiimeesaçxa txã'wẽ yuuna."
1JN,4,9,¿Cómo nos fue demostrado el amor de Dios? Dios envió a su único Hijo para que viviéramos por él.,"Dxusa' kwe'sxtxi peeygãani's ãate kaavxya'ja'kh txajx Nçxi'k teeçxçxáasanawa naa kiwete kaahçxa, txãa nwe'wete' pçumée ĩtxi fxi'zewa'ja's kwe'sx ji'phukahn."
1JN,4,10,"¡Eso es amor! No es que nosotros hayamos amado a Dios, sino que él nos amó y envió a su Hijo para ser la reconciliación por nuestros pecados.","Na'wẽ yũunisaçxáa peeygãani' yaase': Kwe'sxa' Dxusa's açesatewa, txãa yu' kwe'sxtxi peeygãhçxak txajx Nçxi'k makwe teeçxçxáasatewa kwe'sx pkalpa'gate uuwa'jsa vxitçxa kaah."
1JN,4,11,"Amigos, si esta es la manera como Dios nos ama, debemos amarnos unos a otros de esta misma manera.","Adx peeygãanisawe'sx, Dxusa' txã'wẽ kwe'sxtxi peeygãhte', kwe'sxwa txã'wẽy puutx ya'peeygãhna fxi'zewa'j ji'ptha'w."
1JN,4,12,"Nadie ha visto a Dios. Sin embargo, si nos amamos unos a otros, entonces Dios vive en nosotros, y su amor se cumple en nosotros.","Kim yuhwa Dxusa's uysa yu' meetxna. Nawa kwe'sxa' puutx ya'peeygãhna fxi'ze'nja'w aça' txã'wẽ yũute', Dxusa' kwe'sx ũuste nes yuuna, aç yuuçxáa kwe'sxwa txãa na'wẽy ew peeygãasa yu'nja'w."
1JN,4,13,¿Cómo podemos saber que él vive en nosotros? En que nos ha dado el poder de amar por su Espíritu.,"Kwe'sxa' Dxus yakh nes yuute', txãawa txã'wẽy kwe'sx ũuste nesku yu', txãa pa'gaíiçxáak txajx Espiritu's kwe'sx ũuste nvxiht."
1JN,4,14,Porque somos testigos de lo que hemos visto y testificamos que el Padre envió al Hijo como Salvador del mundo.,"Kwe'sxa' iiuytha'w Dxusa' txajx Nçxi'ka's kaakh naa kiwete nasatx nwe'wekahn, txãasatha'w kwe'sxa' ãate pta'sxi'."
1JN,4,15,"Dios vive en todos los que declaran que Jesús es el Hijo de Dios, y ellos viven en Dios.","Maawa Jesusa' Dxus Nçxi'ka' jĩna we'wesa' txã' Dxus yakh ũssaçxa txã'jĩna, aça' Dxuswa txajx ũuste nes yuuna."
1JN,4,16,"Hemos experimentado y creído en el amor que Dios tiene por nosotros. Dios es amor, y los que viven en amor, viven en Dios, y Dios en ellos.","Ãçxha' jiyutha'w Dxusa' kwe'sxtxi txakwe wala peeygãani's. Dxusa' peeygãasa', aça' maawa peeygãhna fxi'zesa', Dxus yakh fxi'zesa yuuna, aça' Dxuswa txãa yakh nes yuuna."
1JN,4,17,"Es así como el amor se completa en nosotros, para que podamos estar seguros en el día del juicio: por el hecho de que vivimos como él en este mundo.","Txajuk kwe'sx peeygãawa'ja's isa jxukate ya'ji'phuna ya'pa'ja'. Txã'wẽ yũunijũ' kastigãywa'j ente' ũukhme'nja'w, txãa pa'gatey naa kiwete kwe'sxa' Jesukristo na'wẽy peeygãasa yu'nja'w naa pa'ga."
1JN,4,18,"Donde hay amor no puede haber temor. Y Dios nos ama por completo, y este amor echa fuera todos nuestros miedos. Si tememos, es porque tememos ser castigados, y eso muestra que no hemos sido plenamente transformados por la plenitud del amor de Dios.","Dxus txakwe wala peeygãasa's ¿ma'wẽ ũukhwa'j yuukx? txãa pa'gatey txajx peeygãanisa' kwe'sx ũukhni's jxuka ivxiitu'k. Aça' ũukhsa' kastigãywa'jne'tka sũhçxa ũukhuna, sa' txã'wẽ yaakxsa' kwe'sxtxi Dxus txakwe wala peeygãani's açxa ew jiimeeçxa txã'wẽ ũukhuna."
1JN,4,19,Nosotros amamos porque él nos amó primero.,"Dxus khuẽ'yku kwe'sxtxi peeygãh, txãa pa'gatha'w ãçxha' kwe'sxwa Dxusa's peeygãja'."
1JN,4,20,"Los que dicen: “Yo amo a Dios”, pero odian a su hermano o hermana en la fe, son mentirosos. Los que no aman a un hermano al que pueden ver, no pueden amar a Dios, a quien no ven.","Maawa Dxusa's peeygãja'th jĩçxawa yakhthẽ'ja's ahçena fxi'zesa', ĩsxiisa yuuna. Peekx yakhthẽ'j uyna fxi'zenisa's ahçeçxa', ¿ma'wẽ yũuçxa Dxus uynimeesa's peeygãjxa' ãjakx?"
1JN,4,21,"Este es el mandamiento que nos dio: los que aman a Dios, amen también a sus hermanos. < 4 >","Dxusa' na'wẽk jxkaaja': Dxusa's peeygãjaççxa', txã'wẽy peekx yakhthẽ'jnawa peeygãawa'ja' jĩ'k. < 4 >"
1JN,5,1,"Todo el que cree que Jesús es el Cristo nacido de Dios, y el que ama al Padre también ama a su hijo.","Maawa Jesusa' Dxus tasxu yuusa Kristona sũhnaçxáa ũuste yaakxsa', Dxus luuçxçxa txã'wẽ yaakina. Dxusnawa peeygãjaççxa', Dxus luuçxtxiwa peeygãhna fxi'zewa'ja'."
1JN,5,2,¿Cómo sabemos que amamos a los hijos de Dios? Cuando amamos a Dios y seguimos sus mandamientos.,"Dxusa's peeygãhna txajx jxkaahnitxi' nwẽese'jçxa', Dxus luuçxtxiwa peeygãasaçxa txã'wẽ yu'nja'w."
